feature_name,fraction_above_threshold,rank
Pos158_Paired-Opening,0.0,160
Pos158_Unpaired,0.0,161
Pos157_Paired-Closing,0.0,162
Pos157_Paired-Opening,0.0,163
Pos157_Unpaired,0.0,164
Pos156_Paired-Closing,0.0,165
Pos156_Unpaired,0.0,166
Pos151_Paired-Closing,0.0,167
Pos155_Paired-Closing,0.0,168
Pos155_Paired-Opening,0.0,169
Pos155_Unpaired,0.0,170
Pos154_Paired-Closing,0.0,171
Pos154_Paired-Opening,0.0,172
Pos154_Unpaired,0.0,173
Pos153_Paired-Closing,0.0,174
Pos153_Paired-Opening,0.0,175
Pos153_Unpaired,0.0,176
Pos152_Paired-Closing,0.0,177
Pos152_Paired-Opening,0.0,178
Pos152_Unpaired,0.0,179
Pos141_Paired-Closing,0.0,180
Pos141_Unpaired,0.0,181
Pos121_Paired-Closing,0.0,182
Pos126_Paired-Opening,0.0,183
Pos130_Paired-Opening,0.0,184
Pos130_Unpaired,0.0,185
Pos129_Paired-Closing,0.0,186
Pos129_Paired-Opening,0.0,187
Pos129_Unpaired,0.0,188
Pos128_Paired-Closing,0.0,189
Pos128_Paired-Opening,0.0,190
Pos128_Unpaired,0.0,191
Pos127_Paired-Closing,0.0,192
Pos127_Paired-Opening,0.0,193
Pos127_Unpaired,0.0,194
Pos126_Paired-Closing,0.0,195
Pos126_Unpaired,0.0,196
Pos131_Unpaired,0.0,197
Pos125_Paired-Closing,0.0,198
Pos125_Paired-Opening,0.0,199
Pos125_Unpaired,0.0,200
Pos124_Paired-Closing,0.0,201
Pos124_Paired-Opening,0.0,202
Pos124_Unpaired,0.0,203
Pos123_Paired-Closing,0.0,204
Pos123_Paired-Opening,0.0,205
Pos123_Unpaired,0.0,206
Pos122_Paired-Closing,0.0,207
Pos122_Paired-Opening,0.0,208
Pos122_Unpaired,0.0,209
Pos130_Paired-Closing,0.0,210
Pos131_Paired-Opening,0.0,211
Pos140_Paired-Closing,0.0,212
Pos136_Paired-Opening,0.0,213
Pos140_Paired-Opening,0.0,214
Pos140_Unpaired,0.0,215
Pos139_Paired-Closing,0.0,216
Pos139_Paired-Opening,0.0,217
Pos139_Unpaired,0.0,218
Pos138_Paired-Closing,0.0,219
Pos138_Paired-Opening,0.0,220
Pos138_Unpaired,0.0,221
Pos137_Paired-Closing,0.0,222
Pos137_Paired-Opening,0.0,223
Pos137_Unpaired,0.0,224
Pos136_Paired-Closing,0.0,225
Pos136_Unpaired,0.0,226
Pos131_Paired-Closing,0.0,227
Pos135_Paired-Closing,0.0,228
Pos135_Paired-Opening,0.0,229
Pos135_Unpaired,0.0,230
Pos134_Paired-Closing,0.0,231
Pos134_Paired-Opening,0.0,232
Pos134_Unpaired,0.0,233
Pos133_Paired-Closing,0.0,234
Pos133_Paired-Opening,0.0,235
Pos133_Unpaired,0.0,236
Pos132_Paired-Closing,0.0,237
Pos132_Paired-Opening,0.0,238
Pos132_Unpaired,0.0,239
Pos81_Paired-Opening,0.0,240
Pos81_Unpaired,0.0,241
Pos80_Paired-Closing,0.0,242
Pos26_Unpaired,0.0,243
Pos30_Unpaired,0.0,244
Pos29_Paired-Closing,0.0,245
Pos29_Paired-Opening,0.0,246
Pos29_Unpaired,0.0,247
Pos28_Paired-Closing,0.0,248
Pos28_Paired-Opening,0.0,249
Pos28_Unpaired,0.0,250
Pos27_Paired-Closing,0.0,251
Pos27_Paired-Opening,0.0,252
Pos27_Unpaired,0.0,253
Pos26_Paired-Closing,0.0,254
Pos26_Paired-Opening,0.0,255
Pos25_Paired-Closing,0.0,256
Pos30_Paired-Closing,0.0,257
Pos25_Paired-Opening,0.0,258
Pos25_Unpaired,0.0,259
Pos24_Paired-Closing,0.0,260
Pos24_Paired-Opening,0.0,261
Pos24_Unpaired,0.0,262
Pos23_Paired-Closing,0.0,263
Pos23_Paired-Opening,0.0,264
Pos23_Unpaired,0.0,265
Pos22_Paired-Closing,0.0,266
Pos22_Paired-Opening,0.0,267
Pos22_Unpaired,0.0,268
Pos21_Paired-Closing,0.0,269
Pos30_Paired-Opening,0.0,270
Pos31_Unpaired,0.0,271
Pos21_Unpaired,0.0,272
Pos36_Unpaired,0.0,273
Pos40_Unpaired,0.0,274
Pos39_Paired-Closing,0.0,275
Pos39_Paired-Opening,0.0,276
Pos39_Unpaired,0.0,277
Pos38_Paired-Closing,0.0,278
Pos38_Paired-Opening,0.0,279
Pos38_Unpaired,0.0,280
Pos37_Paired-Closing,0.0,281
Pos37_Paired-Opening,0.0,282
Pos37_Unpaired,0.0,283
Pos36_Paired-Closing,0.0,284
Pos36_Paired-Opening,0.0,285
Pos35_Paired-Closing,0.0,286
Pos31_Paired-Opening,0.0,287
Pos35_Paired-Opening,0.0,288
Pos35_Unpaired,0.0,289
Pos34_Paired-Closing,0.0,290
Pos34_Paired-Opening,0.0,291
Pos34_Unpaired,0.0,292
Pos33_Paired-Closing,0.0,293
Pos33_Paired-Opening,0.0,294
Pos33_Unpaired,0.0,295
Pos32_Paired-Closing,0.0,296
Pos32_Paired-Opening,0.0,297
Pos32_Unpaired,0.0,298
Pos31_Paired-Closing,0.0,299
Pos21_Paired-Opening,0.0,300
Pos20_Paired-Closing,0.0,301
Pos40_Paired-Closing,0.0,302
Pos6_Unpaired,0.0,303
Pos10_Unpaired,0.0,304
Pos9_Paired-Closing,0.0,305
Pos9_Paired-Opening,0.0,306
Pos9_Unpaired,0.0,307
Pos8_Paired-Closing,0.0,308
Pos8_Paired-Opening,0.0,309
Pos8_Unpaired,0.0,310
Pos7_Paired-Closing,0.0,311
Pos7_Paired-Opening,0.0,312
Pos7_Unpaired,0.0,313
Pos6_Paired-Closing,0.0,314
Pos6_Paired-Opening,0.0,315
Pos5_Paired-Closing,0.0,316
Pos10_Paired-Closing,0.0,317
Pos5_Paired-Opening,0.0,318
Pos5_Unpaired,0.0,319
Pos4_Paired-Closing,0.0,320
Pos4_Paired-Opening,0.0,321
Pos4_Unpaired,0.0,322
Pos3_Paired-Closing,0.0,323
Pos3_Paired-Opening,0.0,324
Pos3_Unpaired,0.0,325
Pos2_Paired-Closing,0.0,326
Pos2_Paired-Opening,0.0,327
Pos2_Unpaired,0.0,328
Pos1_Paired-Closing,0.0,329
Pos10_Paired-Opening,0.0,330
Pos11_Unpaired,0.0,331
Pos20_Paired-Opening,0.0,332
Pos16_Unpaired,0.0,333
Pos20_Unpaired,0.0,334
Pos19_Paired-Closing,0.0,335
Pos19_Paired-Opening,0.0,336
Pos19_Unpaired,0.0,337
Pos18_Paired-Closing,0.0,338
Pos18_Paired-Opening,0.0,339
Pos18_Unpaired,0.0,340
Pos17_Paired-Closing,0.0,341
Pos17_Paired-Opening,0.0,342
Pos17_Unpaired,0.0,343
Pos16_Paired-Closing,0.0,344
Pos16_Paired-Opening,0.0,345
Pos15_Paired-Closing,0.0,346
Pos11_Paired-Opening,0.0,347
Pos15_Paired-Opening,0.0,348
Pos15_Unpaired,0.0,349
Pos14_Paired-Closing,0.0,350
Pos14_Paired-Opening,0.0,351
Pos14_Unpaired,0.0,352
Pos13_Paired-Closing,0.0,353
Pos13_Paired-Opening,0.0,354
Pos13_Unpaired,0.0,355
Pos12_Paired-Closing,0.0,356
Pos12_Paired-Opening,0.0,357
Pos12_Unpaired,0.0,358
Pos11_Paired-Closing,0.0,359
Pos40_Paired-Opening,0.0,360
Pos41_Unpaired,0.0,361
Pos80_Paired-Opening,0.0,362
Pos66_Unpaired,0.0,363
Pos70_Unpaired,0.0,364
Pos69_Paired-Closing,0.0,365
Pos69_Paired-Opening,0.0,366
Pos69_Unpaired,0.0,367
Pos68_Paired-Closing,0.0,368
Pos68_Paired-Opening,0.0,369
Pos68_Unpaired,0.0,370
Pos67_Paired-Closing,0.0,371
Pos67_Paired-Opening,0.0,372
Pos67_Unpaired,0.0,373
Pos66_Paired-Closing,0.0,374
Pos66_Paired-Opening,0.0,375
Pos65_Paired-Closing,0.0,376
Pos70_Paired-Closing,0.0,377
Pos65_Paired-Opening,0.0,378
Pos65_Unpaired,0.0,379
Pos64_Paired-Closing,0.0,380
Pos64_Paired-Opening,0.0,381
Pos64_Unpaired,0.0,382
Pos63_Paired-Closing,0.0,383
Pos63_Paired-Opening,0.0,384
Pos63_Unpaired,0.0,385
Pos62_Paired-Closing,0.0,386
Pos62_Paired-Opening,0.0,387
Pos62_Unpaired,0.0,388
Pos61_Paired-Closing,0.0,389
Pos70_Paired-Opening,0.0,390
Pos71_Unpaired,0.0,391
Pos61_Unpaired,0.0,392
Pos76_Unpaired,0.0,393
Pos80_Unpaired,0.0,394
Pos79_Paired-Closing,0.0,395
Pos79_Paired-Opening,0.0,396
Pos79_Unpaired,0.0,397
Pos78_Paired-Closing,0.0,398
Pos78_Paired-Opening,0.0,399
Pos78_Unpaired,0.0,400
Pos77_Paired-Closing,0.0,401
Pos77_Paired-Opening,0.0,402
Pos77_Unpaired,0.0,403
Pos76_Paired-Closing,0.0,404
Pos76_Paired-Opening,0.0,405
Pos75_Paired-Closing,0.0,406
Pos71_Paired-Opening,0.0,407
Pos75_Paired-Opening,0.0,408
Pos75_Unpaired,0.0,409
Pos74_Paired-Closing,0.0,410
Pos74_Paired-Opening,0.0,411
Pos74_Unpaired,0.0,412
Pos73_Paired-Closing,0.0,413
Pos73_Paired-Opening,0.0,414
Pos73_Unpaired,0.0,415
Pos72_Paired-Closing,0.0,416
Pos72_Paired-Opening,0.0,417
Pos72_Unpaired,0.0,418
Pos71_Paired-Closing,0.0,419
Pos61_Paired-Opening,0.0,420
Pos60_Paired-Closing,0.0,421
Pos41_Paired-Opening,0.0,422
Pos46_Unpaired,0.0,423
Pos50_Unpaired,0.0,424
Pos49_Paired-Closing,0.0,425
Pos49_Paired-Opening,0.0,426
Pos49_Unpaired,0.0,427
Pos48_Paired-Closing,0.0,428
Pos48_Paired-Opening,0.0,429
Pos48_Unpaired,0.0,430
Pos47_Paired-Closing,0.0,431
Pos47_Paired-Opening,0.0,432
Pos47_Unpaired,0.0,433
Pos46_Paired-Closing,0.0,434
Pos46_Paired-Opening,0.0,435
Pos45_Paired-Closing,0.0,436
Pos50_Paired-Closing,0.0,437
Pos45_Paired-Opening,0.0,438
Pos45_Unpaired,0.0,439
Pos44_Paired-Closing,0.0,440
Pos44_Paired-Opening,0.0,441
Pos44_Unpaired,0.0,442
Pos43_Paired-Closing,0.0,443
Pos43_Paired-Opening,0.0,444
Pos43_Unpaired,0.0,445
Pos42_Paired-Closing,0.0,446
Pos42_Paired-Opening,0.0,447
Pos42_Unpaired,0.0,448
Pos41_Paired-Closing,0.0,449
Pos50_Paired-Opening,0.0,450
Pos51_Unpaired,0.0,451
Pos60_Paired-Opening,0.0,452
Pos56_Unpaired,0.0,453
Pos60_Unpaired,0.0,454
Pos59_Paired-Closing,0.0,455
Pos59_Paired-Opening,0.0,456
Pos59_Unpaired,0.0,457
Pos58_Paired-Closing,0.0,458
Pos58_Paired-Opening,0.0,459
Pos58_Unpaired,0.0,460
Pos57_Paired-Closing,0.0,461
Pos57_Paired-Opening,0.0,462
Pos57_Unpaired,0.0,463
Pos56_Paired-Closing,0.0,464
Pos56_Paired-Opening,0.0,465
Pos55_Paired-Closing,0.0,466
Pos51_Paired-Opening,0.0,467
Pos55_Paired-Opening,0.0,468
Pos55_Unpaired,0.0,469
Pos54_Paired-Closing,0.0,470
Pos54_Paired-Opening,0.0,471
Pos54_Unpaired,0.0,472
Pos53_Paired-Closing,0.0,473
Pos53_Paired-Opening,0.0,474
Pos53_Unpaired,0.0,475
Pos52_Paired-Closing,0.0,476
Pos52_Paired-Opening,0.0,477
Pos52_Unpaired,0.0,478
Pos51_Paired-Closing,0.0,479
Pos160_Paired-Closing,0.0,480
