Struct,Position,Computed_Spearman,Sign
C,38,0.0,zero
O,38,0.196,positive
U,38,-0.477,negative
C,39,0.0,zero
O,39,0.23,positive
U,39,0.0,zero
C,40,0.651,positive
O,40,0.637,positive
U,40,0.0,zero
C,41,0.347,positive
O,41,0.61,positive
U,41,-0.675,negative
C,42,0.331,positive
O,42,0.0,zero
U,42,-0.677,negative
C,43,0.347,positive
O,43,0.614,positive
U,43,-0.682,negative
C,44,0.674,positive
O,44,0.0,zero
U,44,0.0,zero
C,45,-0.396,negative
O,45,-0.543,negative
U,45,0.385,positive
C,46,0.0,zero
O,46,0.0,zero
U,46,0.0,zero
C,47,-0.711,negative
O,47,0.0,zero
U,47,0.758,positive
C,48,-0.756,negative
O,48,0.0,zero
U,48,0.756,positive
C,49,0.0,zero
O,49,0.0,zero
U,49,0.0,zero
C,50,0.0,zero
O,50,0.0,zero
U,50,-0.446,negative
C,51,-0.698,negative
O,51,0.0,zero
U,51,0.827,positive
C,52,-0.715,negative
O,52,-0.599,negative
U,52,0.833,positive
C,53,-0.846,negative
O,53,0.0,zero
U,53,0.846,positive
C,54,0.776,positive
O,54,0.61,positive
U,54,-0.588,negative
C,55,0.813,positive
O,55,0.0,zero
U,55,-0.84,negative
C,56,0.779,positive
O,56,0.0,zero
U,56,-0.831,negative
C,57,0.807,positive
O,57,0.0,zero
U,57,-0.806,negative
C,58,0.0,zero
O,58,0.0,zero
U,58,0.862,positive
C,59,-0.838,negative
O,59,0.0,zero
U,59,0.861,positive
C,60,0.778,positive
O,60,0.0,zero
U,60,-0.855,negative
C,61,0.845,positive
O,61,0.0,zero
U,61,-0.845,negative
C,62,0.768,positive
O,62,0.0,zero
U,62,-0.669,negative
C,63,-0.846,negative
O,63,0.0,zero
U,63,0.853,positive
C,64,0.0,zero
O,64,0.0,zero
U,64,0.0,zero
C,65,-0.813,negative
O,65,0.0,zero
U,65,0.813,positive
C,66,-0.841,negative
O,66,0.0,zero
U,66,0.842,positive
C,67,0.701,positive
O,67,0.0,zero
U,67,-0.713,negative
C,68,0.794,positive
O,68,0.0,zero
U,68,-0.794,negative
C,69,0.781,positive
O,69,0.845,positive
U,69,-0.535,negative
C,70,0.746,positive
O,70,0.845,positive
U,70,-0.388,negative
C,71,0.751,positive
O,71,0.845,positive
U,71,-0.421,negative
C,72,0.0,zero
O,72,0.845,positive
U,72,-0.219,negative
C,73,0.0,zero
O,73,0.0,zero
U,73,0.0,zero
C,74,0.0,zero
O,74,0.0,zero
U,74,0.0,zero
C,75,-0.359,negative
O,75,0.0,zero
U,75,0.352,positive
C,76,-0.305,negative
O,76,0.0,zero
U,76,0.305,positive
C,77,-0.834,negative
O,77,0.0,zero
U,77,0.834,positive
C,78,-0.829,negative
O,78,0.0,zero
U,78,0.829,positive
C,79,-0.824,negative
O,79,0.0,zero
U,79,0.824,positive
C,80,-0.808,negative
O,80,0.0,zero
U,80,0.808,positive
C,81,0.0,zero
O,81,-0.104,negative
U,81,0.0,zero
C,82,0.0,zero
O,82,0.0,zero
U,82,0.0,zero
C,83,-0.375,negative
O,83,0.0,zero
U,83,0.0,zero
C,84,-0.334,negative
O,84,0.411,positive
U,84,1.0,positive
C,85,0.0,zero
O,85,0.411,positive
U,85,-0.166,negative
C,86,0.279,positive
O,86,0.411,positive
U,86,-0.254,negative
C,87,0.391,positive
O,87,0.411,positive
U,87,-1.0,negative
C,88,0.279,positive
O,88,0.0,zero
U,88,-0.331,negative
C,89,0.357,positive
O,89,0.0,zero
U,89,0.0,zero
C,90,0.339,positive
O,90,0.0,zero
U,90,-0.339,negative
C,91,0.196,positive
O,91,0.0,zero
U,91,-0.196,negative
C,92,1.0,positive
O,92,0.0,zero
U,92,-1.0,negative
C,93,0.7,positive
O,93,0.0,zero
U,93,-0.8,negative
C,94,-0.167,negative
O,94,0.0,zero
U,94,0.103,positive
C,95,0.467,positive
O,95,0.0,zero
U,95,0.0,zero
C,96,0.286,positive
O,96,0.0,zero
U,96,-0.286,negative
C,97,0.355,positive
O,97,0.0,zero
U,97,-0.355,negative
C,98,1.0,positive
O,98,0.0,zero
U,98,-1.0,negative
C,99,1.0,positive
O,99,0.0,zero
U,99,0.0,zero
C,100,1.0,positive
O,100,0.0,zero
U,100,-1.0,negative
