Struct,Position,Computed_Spearman,Sign
C,77,0.0,zero
O,77,-0.834,negative
U,77,0.0,zero
C,78,0.0,zero
O,78,-0.828,negative
U,78,0.823,positive
C,79,0.0,zero
O,79,0.0,zero
U,79,0.0,zero
C,80,0.0,zero
O,80,0.808,positive
U,80,-0.808,negative
C,81,-0.427,negative
O,81,0.418,positive
U,81,-1.0,negative
C,82,-0.388,negative
O,82,0.402,positive
U,82,-0.109,negative
C,83,-0.253,negative
O,83,0.098,positive
U,83,0.0,zero
C,84,0.0,zero
O,84,0.122,positive
U,84,-0.895,negative
C,85,0.0,zero
O,85,0.303,positive
U,85,-0.166,negative
C,86,-0.276,negative
O,86,0.331,positive
U,86,-0.231,negative
C,87,0.0,zero
O,87,0.391,positive
U,87,-0.667,negative
C,88,0.0,zero
O,88,-0.087,negative
U,88,0.0,zero
C,89,0.0,zero
O,89,0.0,zero
U,89,0.0,zero
C,90,0.0,zero
O,90,0.339,positive
U,90,-0.339,negative
C,91,0.0,zero
O,91,0.196,positive
U,91,-0.196,negative
C,92,0.0,zero
O,92,0.0,zero
U,92,0.0,zero
C,93,0.0,zero
O,93,-1.0,negative
U,93,1.0,positive
C,94,0.0,zero
O,94,-0.18,negative
U,94,0.129,positive
C,95,0.0,zero
O,95,1.0,positive
U,95,-1.0,negative
C,96,0.0,zero
O,96,0.286,positive
U,96,-0.286,negative
C,97,0.0,zero
O,97,0.347,positive
U,97,-0.355,negative
C,98,0.0,zero
O,98,-0.714,negative
U,98,0.0,zero
C,99,0.0,zero
O,99,1.0,positive
U,99,-1.0,negative
C,100,0.0,zero
O,100,1.0,positive
U,100,-1.0,negative
